1,Root,RPG,2-4,Teen,80,
2,Scythe,RPG,1-5,Teen,80,
3,Gloom,RPG,1-4,Adult,84,
4,Wingspan,Strategic,1-5,Teen,81,
5,Terraforming Mars,Strategic,1-5,Teen,79,
6,Azul,Puzzle,2-4,Family,76,
7,Pandemic,Strategic,2-4,Family,72,
8,Viticulture: Essential Edition,Strategic,1-6,Family,79,
9,Codenames,Strategic,2-8,Family,73,
10,7 Wonders,Fantasy,2-7,Teen,73,
11,Spirit Island,Fantasy,1-4,Family,80,
12,7 Wonders Duel,RPG,2-7,Teen,73,
13,The Castle of Burgundy,RPG,2-4,Teen,80,
14,Carcassonne,RPG,2-5,Teen,70,
15,Pandemic Legacy: Season 1,Strategic,2-4,Family,84,
16,Splendor,Strategic,2-4,Teen,70
17,Concordia,Adventure,2-5,Teen,82,
18,Ticket To Ride,Strategic,2-5,Teen,70,
19,Race for the Galaxy,Strategic,2-4,Teen,76,
20,Patchwork,Puzzle,2,Adult,73,
21,Catan,Adventure,3-4,Teen,64,
22,Santorini,Adventure,2-4,Family,73,
23,Everdell,Fantasy,1-4,Teen,79,
24,Jaipur,Puzzle,2,Adult,73,
25,Brass: Birmingham,Strategic,2-4,Teen,85,
26,Love Letter,Puzzle,2-4,Teen,68,
27,Kingdomino,Fantasy,2-4,Teen,71,
28,Great Western Trail,Strategic,2-4,Teen,81,
29,King of Tokyo,Strategic,2-6,Teen,66,
30,Lords of Waterdeep,Strategic,2-5,Teen,73
31,The Quacks of Quedlinburg,Adventure,2-4,Family,79
33,Star Realms,Strategic,2,Adult,71
34,Puerto Rico,Strategic,2-5,Teen,75
35,Architects of the West Kingdom,Strategic,1-5,Teen,78
36,Blood Rage,Fantasy,2-4,Teen,75
37,Welcome to...,Strategic,1-100,Family,76
38,Small World,Fantasy,2-5,Teen,67
39,Orleans,Strategic,2-4,Teen,80
40,Five Tribes,Fantasy,2-4,Teen,76
41,Clans of Caledonia,1-4,Teen,81
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
